week_num,rank_q,c_name_eng,online_quantity,online_ratio,single,dual,cylinder,drum,energy_grade_1,energy_grade_2,energy_grade_3,energy_grade_4,energy_grade_5,energy_grade_x,vol_under_4.4,vol_under_4.9,vol_under_5.4,vol_under_5.9,vol_under_6.4,vol_under_6.9,vol_under_7.4,vol_under_7.9,vol_over_8.0,price_under_200,price_under_400,price_under_600,price_under_800,price_under_1000,price_under_1200,price_under_1400,price_under_1900,price_under_2400,price_under_2900,price_under_3400,price_under_4400,price_over_4401,offline_quantity,offline_ratio,online_amount,online_amount_ratio,offline_amount,offline_amount_ratio,date
34,18,hisense,1793,0.00981761,NA,NA,0.009302911,0.000514699,0.000136888,0.000514699,0.009160548,NA,NA,5.48E-06,NA,NA,0.005716445,0.000142364,0.002403754,NA,0.001522195,5.48E-06,2.74E-05,NA,NA,7.67E-05,0.006433738,0.002480411,0.000142364,0.000153315,0.000470895,2.74E-05,3.29E-05,NA,NA,NA,2422,0.020979324,1496.816,0.005920281,3822.274,0.014316893,2015-08-17
35,1,haier,24383,0.172635231,0.004184367,0.014146134,0.118394223,0.035910507,0.038282356,0.004651657,0.103299349,0.000389408,2.83E-05,0.02598414,0.009076749,NA,0.003929482,0.020079298,0.039252336,0.007058907,0.068068536,0.015300198,0.009869725,NA,0.004474653,0.009650241,0.004510054,0.05914755,0.039705466,0.004566695,0.014712546,0.020539507,0.007986406,0.003405551,0.002676296,0.001260266,56174,0.307507869,32724.527,0.190847697,142658.794,0.314547676,2015-08-24
35,4,galanz,8676,0.061427358,NA,NA,0.010492778,0.050934579,0.005352591,0.045567828,0.010492778,NA,NA,1.42E-05,NA,NA,NA,1.42E-05,0.053186066,0.002548853,0.005678278,NA,NA,NA,NA,NA,0.008319173,0.012744265,0.028986123,0.003681677,0.007625319,7.08E-05,NA,NA,NA,NA,522,0.002857534,9208.114,0.05370123,607.348,0.001339139,2015-08-24
35,5,siemens,7634,0.054049844,NA,NA,NA,0.054049844,0.038983291,0.015045313,NA,NA,NA,2.12E-05,NA,NA,1.42E-05,NA,0.018840272,NA,0.022769754,0.002322288,0.01010337,NA,NA,NA,NA,NA,NA,NA,NA,0.01200085,0.004375531,0.013303597,0.017091476,0.007278391,12481,0.068323525,26075.268,0.152069573,54709.02,0.12062765,2015-08-24
35,7,sanyo,6411,0.045390824,NA,NA,0.029283489,0.016107335,0.003802039,0.007250071,0.033276692,0.000785896,NA,0.000276126,0.000785896,NA,0.004679977,0.008312093,0.003525913,0.003596715,0.018018975,0.002209006,0.004262249,NA,NA,NA,0.009770603,0.01488955,0.002350609,0.000856698,0.01007505,0.00383744,0.000927499,0.00144435,0.001033702,0.000205324,8998,0.049256877,8791.029,0.051268813,20244.435,0.044636856,2015-08-24
35,11,lg,4203,0.029757859,NA,NA,0.002124044,0.027633815,0.018351742,0.011200793,9.91E-05,NA,NA,0.000106202,9.91E-05,NA,NA,NA,0.009345794,0.000382328,0.000651374,2.83E-05,0.01925092,NA,NA,NA,NA,NA,1.42E-05,7.08E-06,0.00050269,0.010365336,0.013331917,0.002329368,0.002655055,0.000552251,4455,0.024387574,11307.338,0.065943793,16766.733,0.036968887,2015-08-24
35,19,hisense,1212,0.008581138,NA,NA,0.007922685,0.000658454,0.000212404,0.000651374,0.007717361,NA,NA,NA,NA,NA,0.003228547,5.66E-05,0.002980742,NA,0.002301048,NA,1.42E-05,NA,NA,NA,0.004538374,0.002973662,0.000184084,6.37E-05,0.000778816,2.83E-05,7.08E-06,NA,NA,7.08E-06,2456,0.013444642,1098.629,0.006407146,4226.22,0.009318372,2015-08-24
36,1,haier,23794,0.175509512,0.00509696,0.014177073,0.119737997,0.036497481,0.038098118,0.00451424,0.104343849,0.000575344,5.16E-05,0.027926326,0.009640705,NA,0.004905179,0.025093862,0.035007487,0.008371997,0.072080312,0.008298235,0.012111735,2.95E-05,0.005406761,0.009743972,0.004469983,0.057844229,0.041048602,0.007759772,0.011794558,0.020579622,0.009876744,0.002500535,0.003260284,0.001194946,32686,0.280013707,31699.581,0.202215292,70919.449,0.280015183,2015-08-31
36,4,galanz,9239,0.068148793,NA,NA,0.016618598,0.051530195,0.004528992,0.047001202,0.016618598,NA,NA,NA,NA,NA,NA,NA,0.056723045,0.005060079,0.006365668,NA,NA,NA,NA,NA,0.014796675,0.015305633,0.026023265,0.004860922,0.007110665,5.16E-05,NA,NA,NA,NA,439,0.003760816,9515.227,0.060698733,483.236,0.001907987,2015-08-31
36,6,sanyo,6802,0.050172972,NA,NA,0.034218233,0.01595474,0.004292954,0.007671257,0.037072825,0.000870393,NA,0.000265544,0.00085564,NA,0.002611178,0.009389914,0.005192851,0.003304542,0.022113874,0.00204321,0.004661764,NA,NA,NA,0.010983175,0.019259281,0.00268494,0.00064173,0.009581695,0.003142265,0.001143312,0.001519499,0.001054798,0.000162277,7195,0.061637968,9051.682,0.057741726,14865.019,0.058692377,2015-08-31
