week_num	product_type	sentiment	keyword	role	numKeyword	numDocs	competitor
2015/38	Bolun	pos	十足	A	1	1	galanz
2015/38	Bolun	pos	优质	A	1	1	galanz
2015/38	Bolun	pos	危险	A	1	1	galanz
2015/38	Bolun	pos	柔顺	A	1	1	galanz
2015/38	Bolun	pos	自觉	A	1	1	galanz
2015/38	Bolun	pos	全面	A	1	1	galanz
2015/38	Bolun	pos	主要	A	1	1	galanz
2015/38	Bolun	pos	中高	A	1	1	galanz
2015/38	Bolun	pos	最佳	A	1	1	galanz
2015/38	Bolun	pos	平展	A	1	1	galanz
2015/38	Bolun	pos	灰白	A	1	1	galanz
2015/33	Bolun	pos	可靠	AZ	1	1	galanz
2015/33	Bolun	pos	强势	AZ	1	1	galanz
2015/33	Bolun	pos	大幅	AZ	1	1	galanz
2015/33	Bolun	pos	突破	AZ	1	1	galanz
2015/33	Bolun	pos	售后服务	AZ	1	1	galanz
2015/33	Bolun	pos	任何	AZ	1	1	galanz
2015/33	Bolun	pos	全自动	AZ	1	1	galanz
2015/33	Bolun	pos	提高	AZ	1	1	galanz
2015/33	Bolun	pos	真的好	AZ	1	1	galanz
2015/33	Bolun	pos	超级	AZ	1	1	galanz
2015/33	Bolun	pos	超级大	AZ	1	1	galanz
2015/38	Bolun	pos	简洁	AZ	1	1	galanz
2015/38	Bolun	pos	简单	AZ	1	1	galanz
2015/38	Bolun	pos	简约	AZ	1	1	galanz
2015/38	Bolun	pos	强大	AZ	1	1	galanz
2015/38	Bolun	pos	更强	AZ	1	1	galanz
2015/38	Bolun	pos	轻松	AZ	1	1	galanz
2015/38	Bolun	pos	经典	AZ	1	1	galanz
2015/38	Bolun	pos	较强	AZ	1	1	galanz
2015/38	Bolun	pos	大气	AZ	1	1	galanz
2015/38	Bolun	pos	领先	AZ	1	1	galanz
2015/38	Bolun	pos	流畅	AZ	1	1	galanz
2015/38	Bolun	pos	方便	AZ	1	1	galanz
2015/38	Bolun	pos	不伤	AZ	1	1	galanz
2015/38	Bolun	pos	不错	AZ	1	1	galanz
2015/38	Bolun	pos	非常高	AZ	1	1	galanz
2015/38	Bolun	pos	成功	AZ	1	1	galanz
2015/38	Bolun	pos	小巧	AZ	1	1	galanz
2015/38	Bolun	pos	首选	AZ	1	1	galanz
2015/38	Bolun	pos	稳定	AZ	1	1	galanz
2015/38	Bolun	pos	自动调节	AZ	1	1	galanz
2015/38	Bolun	pos	专门	AZ	1	1	galanz
2015/38	Bolun	pos	提高	AZ	1	1	galanz
2015/38	Bolun	pos	超大	AZ	1	1	galanz
2015/38	Bolun	pos	透明	AZ	1	1	galanz
2015/33	Bolun	pos	居高不下	L	1	1	galanz
2015/33	Bolun	pos	不温不火	L	1	1	galanz
