week_num,product_type,sentiment,keyword,role,numKeyword,numDocs,competitor
2015/38,bolun,pos,随意,A,1,1,galanz
2015/38,bolun,pos,实用,A,1,1,galanz
2015/38,bolun,pos,十足,A,1,1,galanz
2015/38,bolun,pos,优质,A,1,1,galanz
2015/38,bolun,pos,危险,A,1,1,galanz
2015/38,bolun,pos,柔顺,A,1,1,galanz
2015/38,bolun,pos,自觉,A,1,1,galanz
2015/38,bolun,pos,全面,A,1,1,galanz
2015/38,bolun,pos,主要,A,1,1,galanz
2015/38,bolun,pos,中高,A,1,1,galanz
2015/38,bolun,pos,最佳,A,1,1,galanz
2015/38,bolun,pos,平展,A,1,1,galanz
2015/38,bolun,pos,灰白,A,1,1,galanz
2015/33,bolun,pos,可靠,AZ,1,1,galanz
2015/33,bolun,pos,强势,AZ,1,1,galanz
2015/33,bolun,pos,大幅,AZ,1,1,galanz
2015/33,bolun,pos,突破,AZ,1,1,galanz
2015/33,bolun,pos,售后服务,AZ,1,1,galanz
2015/33,bolun,pos,任何,AZ,1,1,galanz
2015/33,bolun,pos,全自动,AZ,1,1,galanz
2015/33,bolun,pos,提高,AZ,1,1,galanz
2015/33,bolun,pos,真的好,AZ,1,1,galanz
2015/33,bolun,pos,超级,AZ,1,1,galanz
2015/33,bolun,pos,超级大,AZ,1,1,galanz
2015/38,bolun,pos,简洁,AZ,1,1,galanz
2015/38,bolun,pos,简单,AZ,1,1,galanz
2015/38,bolun,pos,简约,AZ,1,1,galanz
2015/38,bolun,pos,强大,AZ,1,1,galanz
2015/38,bolun,pos,更强,AZ,1,1,galanz
2015/38,bolun,pos,轻松,AZ,1,1,galanz
2015/38,bolun,pos,经典,AZ,1,1,galanz
2015/38,bolun,pos,较强,AZ,1,1,galanz
2015/38,bolun,pos,大气,AZ,1,1,galanz
2015/38,bolun,pos,领先,AZ,1,1,galanz
2015/38,bolun,pos,流畅,AZ,1,1,galanz
2015/38,bolun,pos,方便,AZ,1,1,galanz
2015/38,bolun,pos,不伤,AZ,1,1,galanz
2015/38,bolun,pos,不错,AZ,1,1,galanz
2015/38,bolun,pos,非常高,AZ,1,1,galanz
2015/38,bolun,pos,成功,AZ,1,1,galanz
2015/38,bolun,pos,小巧,AZ,1,1,galanz
2015/38,bolun,pos,首选,AZ,1,1,galanz
2015/38,bolun,pos,稳定,AZ,1,1,galanz
2015/38,bolun,pos,自动调节,AZ,1,1,galanz
2015/38,bolun,pos,专门,AZ,1,1,galanz
2015/38,bolun,pos,提高,AZ,1,1,galanz
2015/38,bolun,pos,超大,AZ,1,1,galanz
2015/38,bolun,pos,透明,AZ,1,1,galanz
2015/33,bolun,pos,居高不下,L,1,1,galanz
2015/33,bolun,pos,不温不火,L,1,1,galanz
2015/38,bolun,pos,过日子,L,1,1,galanz
2015/38,bolun,pos,量身定做,L,1,1,galanz
2015/38,bolun,pos,无微不至,L,1,1,galanz
2015/33,bolun,pos,监测,N,1,1,galanz
2015/33,bolun,pos,经过,N,1,1,galanz
2015/33,bolun,pos,基础,N,1,1,galanz
2015/33,bolun,pos,内容,N,1,1,galanz
2015/33,bolun,pos,零售额,N,1,1,galanz
2015/33,bolun,pos,名称,N,1,1,galanz
2015/33,bolun,pos,迷雾,N,1,1,galanz
2015/33,bolun,pos,博览会,N,1,1,galanz
2015/33,bolun,pos,发展,N,1,1,galanz
2015/33,bolun,pos,环境,N,1,1,galanz
2015/33,bolun,pos,排位,N,1,1,galanz
2015/33,bolun,pos,星期,N,1,1,galanz
2015/33,bolun,pos,销售,N,1,1,galanz
2015/33,bolun,pos,小孩子,N,1,1,galanz
2015/33,bolun,pos,试验,N,1,1,galanz
2015/33,bolun,pos,热点,N,1,1,galanz
2015/33,bolun,pos,全部,N,1,1,galanz
2015/33,bolun,pos,传统,N,1,1,galanz
2015/33,bolun,pos,节奏,N,1,1,galanz
2015/33,bolun,pos,重点,N,1,1,galanz
2015/33,bolun,pos,责任,N,1,1,galanz
2015/33,bolun,pos,总裁,N,1,1,galanz
2015/33,bolun,pos,编辑,N,1,1,galanz
2015/33,bolun,pos,平台,N,1,1,galanz
2015/33,bolun,pos,废物,N,1,1,galanz
2015/33,bolun,pos,布局,N,1,1,galanz
2015/33,bolun,pos,幅度,N,1,1,galanz
2015/33,bolun,pos,风潮,N,1,1,galanz
2015/33,bolun,pos,含水率,N,1,1,galanz
2015/33,bolun,pos,行业,N,1,1,galanz
2015/38,bolun,pos,家用,N,1,1,galanz
2015/38,bolun,pos,家电,N,1,1,galanz
2015/38,bolun,pos,开关,N,1,1,galanz
2015/38,bolun,pos,检查,N,1,1,galanz
2015/38,bolun,pos,镜面,N,1,1,galanz
2015/38,bolun,pos,系列,N,1,1,galanz
2015/38,bolun,pos,空气,N,1,1,galanz
2015/38,bolun,pos,空翻,N,1,1,galanz
2015/38,bolun,pos,科技,N,1,1,galanz
2015/38,bolun,pos,科学,N,1,1,galanz
2015/38,bolun,pos,区间,N,1,1,galanz
2015/38,bolun,pos,均衡性,N,1,1,galanz
2015/38,bolun,pos,浓度,N,1,1,galanz
2015/38,bolun,pos,能力,N,1,1,galanz
2015/38,bolun,pos,能手,N,1,1,galanz
2015/38,bolun,pos,铜线,N,1,1,galanz
2015/38,bolun,pos,浪费,N,1,1,galanz
2015/38,bolun,pos,劳动,N,1,1,galanz
2015/38,bolun,pos,褶皱,N,1,1,galanz
2015/38,bolun,pos,污染,N,1,1,galanz
2015/38,bolun,pos,儿童,N,1,1,galanz
2015/38,bolun,pos,人类,N,1,1,galanz
2015/33,bolun,pos,京东,NB,1,1,galanz
2015/33,bolun,pos,海尔,NB,1,1,galanz
2015/38,bolun,pos,容量,NB,1,1,galanz
2015/33,bolun,pos,山东,NS,1,1,galanz
2015/33,bolun,pos,广东,NS,1,1,galanz
2015/38,bolun,pos,石内,NS,1,1,galanz
2015/33,bolun,pos,格兰仕,NZ,1,1,galanz
2015/33,bolun,pos,国内,NZ,1,1,galanz
2015/33,bolun,pos,同步,NZ,1,1,galanz
2015/33,bolun,pos,网络,NZ,1,1,galanz
2015/33,bolun,pos,服务,NZ,1,1,galanz
2015/33,bolun,pos,上海,NZ,1,1,galanz
2015/33,bolun,pos,销量,NZ,1,1,galanz
2015/33,bolun,pos,低价,NZ,1,1,galanz
2015/33,bolun,pos,电商,NZ,1,1,galanz
2015/33,bolun,pos,电商平台,NZ,1,1,galanz
2015/33,bolun,pos,全自动洗衣机,NZ,1,1,galanz
2015/33,bolun,pos,占比,NZ,1,1,galanz
2015/33,bolun,pos,占有率,NZ,1,1,galanz
2015/33,bolun,pos,第一,NZ,1,1,galanz
2015/33,bolun,pos,智能洗衣机,NZ,1,1,galanz
2015/33,bolun,pos,知名,NZ,1,1,galanz
2015/33,bolun,pos,知名度,NZ,1,1,galanz
2015/33,bolun,pos,质量差,NZ,1,1,galanz
2015/33,bolun,pos,达标,NZ,1,1,galanz
2015/33,bolun,pos,评价,NZ,1,1,galanz
2015/33,bolun,pos,品质,NZ,1,1,galanz
2015/33,bolun,pos,互联网,NZ,1,1,galanz
2015/33,bolun,pos,好评,NZ,1,1,galanz
2015/38,bolun,pos,呵护,NZ,1,1,galanz
2015/38,bolun,pos,减少缠绕,NZ,1,1,galanz
2015/38,bolun,pos,稳定性,NZ,1,1,galanz
2015/38,bolun,pos,人性化,NZ,1,1,galanz
2015/38,bolun,pos,一级能效,NZ,1,1,galanz
2015/38,bolun,pos,占有率,NZ,1,1,galanz
2015/38,bolun,pos,重量,NZ,1,1,galanz
2015/38,bolun,pos,智能感知,NZ,1,1,galanz
2015/38,bolun,pos,智能模糊控制,NZ,1,1,galanz
2015/38,bolun,pos,智能手洗,NZ,1,1,galanz
2015/33,bolun,pos,加剧,V,1,1,galanz
2015/33,bolun,pos,加大,V,1,1,galanz
2015/33,bolun,pos,赶上,V,1,1,galanz
2015/33,bolun,pos,干什么,V,1,1,galanz
2015/33,bolun,pos,赶超,V,1,1,galanz
2015/33,bolun,pos,开始,V,1,1,galanz
2015/33,bolun,pos,更换,V,1,1,galanz
2015/33,bolun,pos,继续,V,1,1,galanz
2015/33,bolun,pos,公布,V,1,1,galanz
2015/33,bolun,pos,具有,V,1,1,galanz
2015/33,bolun,pos,沟通,V,1,1,galanz
2015/33,bolun,pos,跟上,V,1,1,galanz
2015/33,bolun,pos,给予,V,1,1,galanz
2015/33,bolun,pos,力争,V,1,1,galanz
2015/33,bolun,pos,联合,V,1,1,galanz
2015/33,bolun,pos,发布,V,1,1,galanz
2015/33,bolun,pos,排名,V,1,1,galanz
2015/33,bolun,pos,分析,V,1,1,galanz
2015/33,bolun,pos,上来,V,1,1,galanz
2015/33,bolun,pos,丧失,V,1,1,galanz
2015/33,bolun,pos,占据,V,1,1,galanz
2015/33,bolun,pos,增加,V,1,1,galanz
2015/33,bolun,pos,止跌,V,1,1,galanz
2015/33,bolun,pos,抢先,V,1,1,galanz
2015/33,bolun,pos,达到,V,1,1,galanz
2015/33,bolun,pos,追赶,V,1,1,galanz
2015/33,bolun,pos,趋于,V,1,1,galanz
2015/33,bolun,pos,缩小,V,1,1,galanz
2015/33,bolun,pos,取得,V,1,1,galanz
2015/33,bolun,pos,投诉,V,1,1,galanz
2015/33,bolun,pos,投入,V,1,1,galanz
2015/33,bolun,pos,披露,V,1,1,galanz
2015/33,bolun,pos,必须,V,1,1,galanz
2015/33,bolun,pos,下探,V,1,1,galanz
2015/33,bolun,pos,回暖,V,1,1,galanz
2015/33,bolun,pos,效力,V,1,1,galanz
2015/38,bolun,pos,可能,V,1,1,galanz
2015/38,bolun,pos,去污,V,1,1,galanz
2015/38,bolun,pos,结合,V,1,1,galanz
2015/38,bolun,pos,计算,V,1,1,galanz
2015/38,bolun,pos,过滤,V,1,1,galanz
2015/38,bolun,pos,搅拌,V,1,1,galanz
2015/38,bolun,pos,基于,V,1,1,galanz
2015/38,bolun,pos,担心,V,1,1,galanz
2015/38,bolun,pos,带来,V,1,1,galanz
2015/38,bolun,pos,链接,V,1,1,galanz
2015/38,bolun,pos,提供,V,1,1,galanz
2015/38,bolun,pos,增加,V,1,1,galanz
2015/38,bolun,pos,增强,V,1,1,galanz
2015/38,bolun,pos,震动,V,1,1,galanz
2015/38,bolun,pos,处理,V,1,1,galanz
2015/38,bolun,pos,针对,V,1,1,galanz
2015/38,bolun,pos,判定,V,1,1,galanz
2015/38,bolun,pos,便是,V,1,1,galanz
2015/38,bolun,pos,编程,V,1,1,galanz
2015/38,bolun,pos,避免,V,1,1,galanz
2015/38,bolun,pos,必须,V,1,1,galanz
2015/38,bolun,pos,抗击,V,1,1,galanz
2015/38,bolun,pos,享受,V,1,1,galanz
2015/38,bolun,pos,显示,V,1,1,galanz
2015/38,bolun,pos,划分,V,1,1,galanz
2015/38,bolun,pos,效仿,V,1,1,galanz
2015/33,bolun,pos,无语,VZ,1,1,galanz
2015/33,bolun,pos,不能,VZ,1,1,galanz
2015/33,bolun,pos,不达标,VZ,1,1,galanz
2015/33,bolun,pos,渗透,VZ,1,1,galanz
