weeknum,company,product,media_num,media_name,neg_pos,count
2015/34,siemens,bolun,5,community,neg,0
2015/34,siemens,bolun,5,community,pos,0
2015/34,siemens,bolun,7,bbs,neg,0
2015/34,siemens,bolun,7,bbs,pos,0
2015/34,siemens,bolun,9,weibo,neg,0
2015/34,siemens,bolun,9,weibo,pos,0
2015/34,siemens,bolun,z,others,neg,0
2015/34,siemens,bolun,z,others,pos,0
2015/34,siemens,drum,0,wiki,neg,13
2015/34,siemens,drum,0,wiki,pos,0
2015/34,siemens,drum,1,news,neg,0
2015/34,siemens,drum,1,news,pos,7
2015/34,siemens,drum,2,blog,neg,0
2015/34,siemens,drum,2,blog,pos,0
2015/34,siemens,drum,5,community,neg,0
2015/34,siemens,drum,5,community,pos,0
2015/34,siemens,drum,7,bbs,neg,1
2015/34,siemens,drum,7,bbs,pos,2
2015/34,siemens,drum,9,weibo,neg,11
2015/34,siemens,drum,9,weibo,pos,0
2015/34,siemens,drum,z,others,neg,0
2015/34,siemens,drum,z,others,pos,0
2015/35,galanz,bolun,0,wiki,neg,0
2015/35,galanz,bolun,0,wiki,pos,0
2015/35,galanz,bolun,1,news,neg,0
2015/35,galanz,bolun,1,news,pos,0
2015/35,galanz,bolun,2,blog,neg,0
2015/35,galanz,bolun,2,blog,pos,0
2015/35,galanz,bolun,5,community,neg,0
2015/35,galanz,bolun,5,community,pos,0
2015/35,galanz,bolun,7,bbs,neg,0
2015/35,galanz,bolun,7,bbs,pos,0
2015/35,galanz,bolun,9,weibo,neg,0
2015/35,galanz,bolun,9,weibo,pos,0
2015/35,galanz,bolun,z,others,neg,0
2015/35,galanz,bolun,z,others,pos,0
2015/35,galanz,drum,0,wiki,neg,0
2015/35,galanz,drum,0,wiki,pos,0
2015/35,galanz,drum,1,news,neg,0
2015/35,galanz,drum,1,news,pos,8
2015/35,galanz,drum,2,blog,neg,0
2015/35,galanz,drum,2,blog,pos,0
2015/35,galanz,drum,5,community,neg,0
2015/35,galanz,drum,5,community,pos,0
2015/35,galanz,drum,7,bbs,neg,0
2015/35,galanz,drum,7,bbs,pos,1
2015/35,galanz,drum,9,weibo,neg,0
2015/35,galanz,drum,9,weibo,pos,0
2015/35,galanz,drum,z,others,neg,0
2015/35,galanz,drum,z,others,pos,0
2015/35,haier,bolun,0,wiki,neg,6
2015/35,haier,bolun,0,wiki,pos,0
2015/35,haier,bolun,1,news,neg,0
2015/35,haier,bolun,1,news,pos,33
2015/35,haier,bolun,2,blog,neg,0
2015/35,haier,bolun,2,blog,pos,0
2015/35,haier,bolun,5,community,neg,0
