site_product_cd,product_nm,review_n,발색,커버력,밀착력_지속력,세정력,향,흡수력,보습력,안티에이징_미백,천연,휴대성,가성비,사용편리성
SPR20170828000032130,순정 판텐소사이드™ 5 시카 밤,5,2.1,0,1.9,1.2,0,2.2,1.3,1.5,0.9,5,5,1.5
SPR20170828000032134,애니 쿠션 올데이 퍼펙트 SPF50+/PA++,5,1.2,1.7,2.5,0,0,1.3,0,0,0,0,0,0
SPR20180131000036769,더 미니멈 선크림 SPF25,5,0,0,0,1.5,1.5,0.9,0,2.8,2.5,2,1,0
000025048,오가니언스 큐어 아이 크림,4,1.3,0,1.4,0,5,5,1.5,4,5,1.7,1.6,3.9
000025292,순행클렌징폼,4,0,0,0,5,4,2.7,0.8,0,2.4,3.4,4.1,4.7
000026614,UV 쉴드 선 프로텍터 EX  SPF 50+ PA++++,4,3.1,0,2.2,0,0,3.9,1.5,0.9,0.8,0,1.7,1.4
P00001045,트리트먼트 엔자임 필 ,4,0,1.7,0,4.6,2.2,1.1,0,0.9,3.8,0,1.2,0.6
SPR20150217000007224,투톤 립 바,4,5,0,1.9,0,1,0.9,0,0,0.6,3.9,0,2.6
SPR20150309000007722,시그니아 세럼,4,1.1,0,2,0,0,2.8,1.8,1,1.7,0,1.1,0
SPR20150420000008382,포어클린 블랙헤드 스틱 ,4,1.1,0,0,4.1,1.1,0.8,0,0,0.6,2,0,1.9
SPR20150616000009626,플로랄 하이드로 앰플토너,4,0,0,0,1.2,1.5,3.9,1.9,0.9,0.8,0,0,1.5
SPR20150616000009630,메이크업 픽서,4,2.3,0,4.8,1.3,0.6,0.8,1.2,0,1.3,0,2.3,0
SPR20160323000016929,어린쑥 수분진정 플루이드,4,2.1,0,1.9,0,4.3,1.7,1.4,0.9,1.7,1.7,0,3.8
SPR20160801000022168,UV 미스트 쿠션 누드 SPF34/PA++,4,1,2.7,1.9,0,0,0.8,0,0,0,2.8,0,1.6
SPR20160907000023188,트루컬러 립스틱,4,5,0,1.9,0,0,0.8,0,0,0,0,0.4,0
SPR20170217000027452,[홀리데이 리미티드] 모이스처 세라마이드 인텐스 크림 ,4,2.7,2.6,2.6,1.4,1.5,3.7,3.1,5,2.6,0,2.5,0
SPR20170313000028170, 프레시 카밍 세럼,4,0,0,0,0,0,0.8,1.8,3,2.2,0,0,0
SPR20170418000028952,어린쑥 수분진정 젤,4,1,1.7,0,1.2,4.1,2.3,2.2,3.6,1.8,4,2.3,0
SPR20170515000029423,페탈 퓨리파잉 버블 마스크,4,2.5,2.7,0,5,0,2.1,0.6,2.1,1.7,1.7,0.4,2.8
SPR20170801000031219,더마 리페어 스킨워터,4,1.1,0,2,0,1.5,3.1,3.5,3.6,5,0,2,0
SPR20170809000031487,컬픽스 마스카라 리무버	,4,1.2,0,2.3,5,0,0.8,0,0,0,0,0,2
SPR20170814000031593,그린티 모이스처 스킨,4,1,0,0.9,0,0,2.6,2.2,0.9,0.6,0,0,0
SPR20170816000031652,더 그린티 씨드 크림,4,2.1,1.6,1.9,0,1.5,2.9,2,1.8,4,0,0,0
SPR20170818000031776,노세범 블러 팩트,4,1.9,2.2,2.9,0,0,0.8,0,0,0,0,1.1,0
SPR20170821000031837,데일리 유브이 프로텍션 크림 마일드 SPF35 PA++,4,1.9,0,0.9,1.3,0.8,3.6,1.5,2.8,4.3,1.9,5,0
SPR20170821000031842,퍼펙트 유브이 프로텍션 크림 트리플케어 SPF50+ PA+++,4,0.9,1.6,2.6,0,0,3.3,0.8,0.9,0.6,0,1.1,0
SPR20170825000032047,노세범 블러 프라이머,4,2,5,2.3,0,0,0.8,0.6,1.8,2.8,0,2.6,0.7
SPR20180104000035589,로즈워터 토너 [250ml+500ml],4,0,0,0,2.6,0,2.1,1.2,0.9,0.6,0,5,0
