date,detail,cash,credit,creditType,category,tag,waste
2010년05월08일,음료수,4000,0,,식비>커피/음료,,
2010년05월08일,전구값,3000,0,,생활용품>잡화소모,,
2010년05월09일,게임방,3000,0,,건강/문화>기타,,
2010년05월10일,담배값,2500,0,,용돈/기타>담배,,
2010년05월10일,캔커피,900,0,,식비>커피/음료,,
2010년05월10일,택시비 정산,0,15800,LIG 손해보험-현,교통/차량>택시비C,,
2010년05월10일,택시비 정산(야간),0,67040,LIG 손해보험-현,교통/차량>택시비C,,
2010년05월10일,대중교통비정산,0,82200,LIG 손해보험-현,교통/차량>대중교통비,,
2010년05월11일,점심값,6000,0,,식비>평일점심,,
2010년05월12일,점심값,5000,0,,식비>평일점심,,
2010년05월12일,탁구비,3000,0,,건강/문화>운동/레저,,
2010년05월13일,점심값,5000,0,,식비>평일점심,,
2010년05월13일,수수료,1000,0,,세금/이자>기타,,
2010년05월13일,담배값,2500,0,,용돈/기타>담배,,
2010년05월13일,껌,500,0,,식비>간식,,
2010년05월14일,점심값,5000,0,,식비>평일점심,,
2010년05월14일,유흥비,220000,0,,식비>술/유흥,,
2010년05월14일,수수료,2600,0,,세금/이자>기타,,
2010년05월14일,술집,0,20500,LIG 손해보험-현,식비>술/유흥,,
2010년05월15일,음료수,1000,0,,식비>커피/음료,,
2010년05월16일,선배생일선물,0,31500,LIG 손해보험-현,용돈/기타>선물,,
2010년05월16일,게임방,3000,0,,건강/문화>기타,,
2010년05월17일,점심값,10000,0,,식비>평일점심,,
2010년05월17일,담배값,2500,0,,용돈/기타>담배,,
2010년05월17일,술값(급미팅),40000,0,,식비>술/유흥,,
2010년05월19일,담배값,2500,0,,용돈/기타>담배,,
2010년05월19일,빌려줌,2000,0,,용돈/기타>기타,,
2010년05월20일,점심값,6000,0,,식비>평일점심,,
2010년05월20일,부모님선물,55700,0,,용돈/기타>선물,,
2010년05월20일,속옷(유니클로),12900,0,,의복/미용>의류비,,
2010년05월21일,라빠에야(소개팅),50270,0,,식비>외식,,
2010년05월21일,커피숍(소개팅),12500,0,,식비>커피/음료,,
2010년05월21일,술값,55000,0,,식비>술/유흥,,
2010년05월21일,담배값,2500,0,,용돈/기타>담배,,
2010년05월21일,껌,500,0,,식비>간식,,
2010년05월22일,연금(LIG),148500,0,,저축/보험>연금,고정비용,
2010년05월22일,게임방,4000,0,,건강/문화>기타,,
2010년05월22일,닭도리탕,5000,0,,식비>외식,,
2010년05월24일,LIG 손해보험-현... 사용대금 (2010.04.12 ~ 2010.05.11),300630,0,,카드대금>LIG 손해보험-현,,
2010년05월24일,점심값,6000,0,,식비>평일점심,,
2010년05월25일,핸드폰 요금,66990,0,,주거/통신>이동통신,,
2010년05월25일,보험비,40000,0,,저축/보험>보험,"고정비용,",
2010년05월25일,점심값,5000,0,,식비>평일점심,,
2010년05월25일,담배값,2500,0,,용돈/기타>담배,,
2010년05월25일,음료수,2000,0,,식비>커피/음료,,
2010년05월26일,점심값,5000,0,,식비>평일점심,,
2010년05월27일,점심값,6000,0,,식비>평일점심,,
2010년05월27일,담배값,2500,0,,용돈/기타>담배,,
2010년05월28일,커피(복불복),13500,0,,식비>커피/음료,,
2010년05월29일,와플,1000,0,,식비>간식,,
2010년05월29일,음료수,1000,0,,식비>커피/음료,,
2010년05월29일,담배값,2500,0,,용돈/기타>담배,,
