date,detail,income,category,tag
2014년09월04일,카드깡_산타노벨라 화장품,160300,부수입>카드깡,
2014년09월25일,월급,3443391,주수입>급여,
2014년09월30일,이자,100000,부수입>이자/배당금,
2014년10월01일,09월 전월이월 잔액,10622903,전월이월>전월이월,
2014년10월10일,500만원 중 200만원 회수,2000000,저축/보험>투자,
2014년10월24일,월급,3231437,주수입>급여,
2014년10월27일,500만원 중 300만원 회수,3000000,저축/보험>투자,
2014년10월27일,이자,50000,부수입>이자/배당금,
2014년11월01일,10월 전월이월 잔액,15323745,전월이월>전월이월,
2014년11월23일,예금이자,100112,부수입>이자/배당금,
2014년11월25일,월급,4116482,주수입>급여,
2014년12월01일,11월 전월이월 잔액,16068850,전월이월>전월이월,
2014년12월18일,복리후생비,720000,부수입>복리후생,
2014년12월24일,월급,3736986,주수입>급여,
2015년01월01일,12월 전월이월 잔액,16443051,전월이월>전월이월,
2015년01월19일,이자,200000,부수입>이자/배당금,
2015년01월23일,월급,3423882,주수입>급여,
2015년01월30일,성과금,1830220,주수입>상여,
2015년02월01일,01월 전월이월 잔액,18470067,전월이월>전월이월,
2015년02월02일,예금 중도해지,10000000,저축/보험>예금,
2015년02월25일,월급,3854705,주수입>급여,
2015년02월25일,곗돈,10000000,저축/보험>기타,
2015년02월25일,곗돈 이자,900000,부수입>이자/배당금,
2015년03월01일,02월 전월이월 잔액,21432792,전월이월>전월이월,
2015년03월04일,경조사비,500000,부수입>복리후생,
2015년03월14일,상품권 수입,200000,부수입>기타,
2015년03월18일,출장 활동비,436309,부수입>경비,
2015년03월25일,월급,3473071,주수입>급여,
2015년03월28일,동생 빌려준 돈,2500000,저축/보험>투자,
2015년03월31일,복리후생비,58520,부수입>복리후생,
2015년04월01일,03월 전월이월 잔액,18605024,전월이월>전월이월,
2015년04월06일,강의비,688000,부수입>기타,
2015년04월10일,예금이자,108694,부수입>이자/배당금,
2015년04월10일,예금만기,10300000,저축/보험>예금,
2015년04월22일,출장비(로밍비용),28678,부수입>경비,
2015년04월24일,월급,3485508,주수입>급여,
2015년05월01일,04월 전월이월 잔액,18023268,전월이월>전월이월,
2015년05월22일,월급,3493342,주수입>급여,
2015년05월26일,강의비,281400,부수입>기타,
2015년06월01일,05월 전월이월 잔액,18014307,전월이월>전월이월,
2015년06월03일,예금이자,235416,부수입>이자/배당금,
2015년06월25일,월급,3528858,주수입>급여,
2015년07월01일,06월 전월이월 잔액,8542951,전월이월>전월이월,
2015년07월09일,강의비(금융투자교육원),497120,부수입>기타,
2015년07월15일,강의비(KOSTA),368000,부수입>기타,
2015년07월24일,월급,3721435,주수입>급여,
2015년08월01일,07월 전월이월 잔액,5348860,전월이월>전월이월,
2015년08월03일,투자금 회수,20000000,저축/보험>투자,
2015년08월18일,항공권 변경 차액,17800,부수입>기타,제주도
2015년08월25일,월급,3599472,주수입>급여,
2015년08월28일,예금,32000000,저축/보험>예금,
2015년09월01일,08월 전월이월 잔액,9379525,전월이월>전월이월,
2015년09월18일,결혼자금,10000000,부수입>기타,결혼준비
2015년09월25일,월급,3513391,주수입>급여,
2015년09월26일,어머님 용돈,50000,부수입>기타,
2015년10월01일,09월 전월이월 잔액,16648588,전월이월>전월이월,
2015년10월08일,복리후생비,800000,부수입>복리후생,
2015년10월12일,카드깡,40000,부수입>카드깡,
2015년10월16일,주식 계좌 정리,18000000,저축/보험>주식,
2015년10월21일,출장비,4216036,부수입>경비,중국출장
2015년10월23일,월급,3382318,주수입>급여,
2015년11월01일,10월 전월이월 잔액,33099559,전월이월>전월이월,
2015년11월11일,결혼축하금,2000000,부수입>복리후생,
2015년11월25일,월급,3210088,주수입>급여,
2015년12월01일,축의금 및 친척분들 용돈,7100000,부수입>기타,결혼준비
2015년12월01일,환전하고 남은 돈,350000,부수입>기타,
2015년12월01일,11월 전월이월 잔액,34070993,전월이월>전월이월,
2015년12월24일,월급,3351838,주수입>급여,
2015년12월24일,수주성과금,300000,주수입>상여,
2016년01월01일,12월 전월이월 잔액,20295052,전월이월>전월이월,
2016년01월06일,복리후생비,60000,부수입>복리후생,
2016년01월25일,곗돈 이자,700000,부수입>이자/배당금,
2016년01월25일,곗돈,10100000,저축/보험>기타,
2016년01월25일,월급,4707437,주수입>급여,
2016년02월01일,01월 전월이월 잔액,1850906,전월이월>전월이월,
2016년02월05일,신차 캐쉬백,354770,부수입>기타,스포티지
2016년02월23일,개소세 환급,498030,부수입>기타,스포티지
2016년02월25일,월급,3960974,주수입>급여,
2016년03월01일,02월 전월이월 잔액,3435382,전월이월>전월이월,
2016년03월03일,하나카드 캐쉬백,191000,부수입>기타,스포티지
2016년03월25일,월급+포상금,6410965,주수입>급여,
2016년04월01일,03월 전월이월 잔액,7260053,전월이월>전월이월,
2016년04월05일,강의비,528320,부수입>기타,
2016년04월25일,월급,3355397,주수입>급여,
2016년04월28일,복리후생비,166850,부수입>복리후생,
