"날짜","yearMonth","category1","category2","detail","현금","카드","카드분류","total","type","totalExpenditure","totalIncome","totalSave"
"2010-04-21","2010-04","의복/미용","헤어/뷰티","쉐이브크림",15000,0,NA,15000,"expenditure",15000,0,0
"2010-04-21","2010-04","의복/미용","헤어/뷰티","에프터쉐이브로션",22000,0,NA,22000,"expenditure",22000,0,0
"2010-04-21","2010-04","경조사/회비","모임회비","회비",45000,0,NA,45000,"expenditure",45000,0,0
"2010-04-22","2010-04","식비","간식","파리바게트",12300,0,NA,12300,"expenditure",12300,0,0
"2010-04-22","2010-04","식비","커피/음료","커피(뜨레모아)",13000,0,NA,13000,"expenditure",13000,0,0
"2010-04-23","2010-04","식비","외식","도미노피자",0,20440,"LIG 손해보험-현",20440,"expenditure",20440,0,0
"2010-04-24","2010-04","식비","외식","병천순대",0,58000,"LIG 손해보험-현",58000,"expenditure",58000,0,0
"2010-04-24","2010-04","건강/문화","기타","게임방",4000,0,NA,4000,"expenditure",4000,0,0
"2010-04-24","2010-04","용돈/기타","담배","담배값",2500,0,NA,2500,"expenditure",2500,0,0
"2010-04-25","2010-04","용돈/기타","담배","담배값(아버지)",3000,0,NA,3000,"expenditure",3000,0,0
"2010-04-25","2010-04","식비","간식","아이스크림",2000,0,NA,2000,"expenditure",2000,0,0
"2010-04-26","2010-04","주거/통신","이동통신","핸드폰 요금",67480,0,NA,67480,"expenditure",67480,0,0
"2010-04-28","2010-04","용돈/기타","용돈","동생용돈",1e+05,0,NA,1e+05,"expenditure",1e+05,0,0
"2010-04-28","2010-04","경조사/회비","모임회비","회비(막창집)",28100,0,NA,28100,"expenditure",28100,0,0
"2010-04-29","2010-04","식비","평일점심","버거킹",7000,0,NA,7000,"expenditure",7000,0,0
"2010-04-29","2010-04","식비","커피/음료","콜라1L",1400,0,NA,1400,"expenditure",1400,0,0
"2010-04-30","2010-04","식비","평일점심","만두칼국수(명인만두)",5000,0,NA,5000,"expenditure",5000,0,0
"2010-04-30","2010-04","식비","외식","저녁(제육덮밥)",4500,0,NA,4500,"expenditure",4500,0,0
"2010-04-30","2010-04","건강/문화","기타","게임방",4000,0,NA,4000,"expenditure",4000,0,0
